Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Thumbnail,Year,Client,What We Did,Industry,Date,Summary,Overview,Project Link,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Video link,Credits
VISIT SEOUL NET Brand Film,vsn,67722c5aae210395472679f4,67722c5aae210395472679d7,67722c5aae21039547267ad2,false,false,Sat Nov 16 2024 20:46:33 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 06:12:48 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 07:28:37 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356f9a42b94c0b9437de77_VSN_00_Hero.webp,( 2021 ),서울관광재단,Branding Movie,"Video, Brand Flim",2021. 07.,"'All About Traveling Seoul,' a branding video for the Seoul Tourism Organization's VSN(VisitSeoul.net).","The Grap captured the first step of traveling, and every moment of Seoul, a city where the past, present, and future coexist. By connecting the spellings of VISIT with Seoul's landmarks, it expresses a simple and intuitive feeling.",,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fadf0622c541df5d096_VSN_01.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fb2a01bd8bea304dd0d_VSN_02.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fb4b81e64293f1236c4_VSN_03.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fbc4c0ba387ea0c5795_VSN_04.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fb80c3217498b85d830_VSN_05.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fc5b490a0cc45d580c9_VSN_06.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fd07352f4bdb4a15c6b_VSN_07.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fd0d510e5a3ac805a57_VSN_08.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356fd3237674a62b0401fe_VSN_09.webp,,,,,,,,Creative Director: Jungkwon Kim / Project Manager & Motion Design: Jongseok Lee / 2D Illustration: Mijin Seo
Wellune App,wellune-app,67722c5aae210395472679f4,67722c5aae210395472679d7,67722c5aae21039547267aee,false,false,Sat Nov 16 2024 20:46:33 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 02:07:05 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 07:46:11 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/6848e492597de959b7442cb1_Wellune_App_00_Hero_V2.webp,( 2023 ),bitsensing,"UI Design, Motion Graphic","App, IoT, Sleep Tech",2023. 03. 21.,"Wellune is a sleep-tech service from BitSensing, an image processing radar technology startup.","Wellune proposes a way for users to get a comfortable and healthy sleep by analyzing sleep data such as sleep patterns and sleep environments by linked sensors. Midnight Blue, reminiscent of the night sky, was applied as the main color to create an atmosphere related to sleep, and we used micro-interaction properly to make users have more interesting and fun experiences when using the app. Also, each situation setting and status is provided with friendly illustration and animation guide to provide a design that is easy for users of various ages to understand.",https://apps.apple.com/kr/app/wellune/id1634542269,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355eed42b94c0b942caea1_Wellue_App_01.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355efc8b654f17a58c9215_Wellue_App_02.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355f0118c843a7391bb3ee_Wellue_App_03.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355f03bdf051d5ff51b2fc_Wellue_App_04.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355f0beefb9619f9c75723_Wellue_App_05.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356511d60b105cdda97c49_Wellue_App_06_Ani.gif,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68356515d18aebbaf8a9db2b_Wellue_App_07_Ani.gif,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683563aeabe33a24dfa8fbed_Wellue_App_08_Ani.gif,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355f1354d9f20bcc1b2bc6_Wellue_App_06.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683565b4b490a0cc45cec7ea_Wellue_App_10_Ani.gif,,,,,,,"Creative Director by Kim Hanil, Seo Mijin / Project Manager by Kim Hanil / UI Design by Kim Hanil, Seo Mijin, Choi Sunhyeong / Illustration Design by Lim Hyejin / Motion Design by Lee Jongseok"
Wellune for business,wellune-business,67722c5aae210395472679f4,67722c5aae210395472679d7,67722c5aae21039547267aef,false,false,Sat Nov 16 2024 20:46:33 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 14:51:18 GMT+0000 (Coordinated Universal Time),Fri Aug 22 2025 03:31:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/685e5178aa10df4025b7c726_Wellune_Business_00_Hero.webp,( 2023 ),bitsensing,UI Design,"Sleep Tech, Dashboard",2023. 6. 30.,"Wellune is a sleep-tech service from BitSensing, an image processing radar technology startup.","Wellune proposes a way for users to get a comfortable and healthy sleep by analyzing sleep data such as sleep patterns and sleep environments by linked sensors. The Grap successfully renewed the app service design of Wellune and added a B2B version of Wellune for Business based on a high understanding of the service. Consistent and state-aware UI and graphic images were applied to enable a large number of unspecified sleep managers to monitor the manager screen efficiently, maintain the identity of the app, and implement a simple but trendy design.",,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835597878ad713e656c7997_Wellune_Business_01.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835597b1fccc38299802bf6_Wellune_Business_02.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355981bb2840fd0ddde80a_Wellune_Business_03.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355983febca67f57453baf_Wellune_Business_04.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355986a1800928d9b03c1f_Wellune_Business_05.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835599983933c5958f47851_Wellune_Business_06.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835599cf4ac5b65c23f538e_Wellune_Business_07.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68478faf8f16779a3374fde7_Wellune_Business_08.webp,,,,,,,,,"Creative Director by Kim Hanil / Project Manager by Kim Hanil / UI Design by Kim Hanil, Choi Sunhyung, Park Soohyun"
LG Sustainable Village QR Promotion Mobile Web,lg-qr-promotion,67722c5aae210395472679f4,67722c5aae210395472679d7,67722c5aae21039547267af0,false,false,Sat Nov 16 2024 20:46:33 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 06:07:20 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 06:07:20 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835277248a9c969c779cc09_LG-Sustainable-Village-QR-Promotion-Mobile-Web_00_Cover.webp,( 2023 ),PPW Korea & LGE,"UX/UI Design, Publishing, Development","UX/UI, Web, IFA 2023",2023. 09. 01.,"This is a mobile environment optimized webpage work for the IFA 2023 LG Electronics Showroom event in Berlin, Germany.","Event participants can experience various areas in LG Electronics' exhibition hall through the webpage and accomplish challenges by scanning the QR code of each area. We wanted to actively use LG Electronics' brand image and elements to give connectivity with the exhibition hall. Also, interactive elements and smooth flows were considered due to the circumstances of participants' movement around the exhibition hall.",,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683527cde39a8797e6ef73fa_LG-Sustainable-Village-QR-Promotion-Mobile-Web_01_Top.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683527d1dffa7a5f18bd54ef_LG-Sustainable-Village-QR-Promotion-Mobile-Web_02_Intro.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683527d4cbeea7fd1764f727_LG-Sustainable-Village-QR-Promotion-Mobile-Web_03_QR%20Scan.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683527d849131c58dd44ec8d_LG-Sustainable-Village-QR-Promotion-Mobile-Web_04_Map.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683527dd044b892efef0f26a_LG-Sustainable-Village-QR-Promotion-Mobile-Web_05_Zone.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683527e7a5bc3fee519d64eb_LG-Sustainable-Village-QR-Promotion-Mobile-Web_06_Popup.webp,,,,,,,,,,,"Project Manager by Shin Geonwoong, Creative director by Shin Geonwoong, UI Design by Shin Geonwoong, Park Soohyun, Web Publishing by Seo Jonghoon, Development by Bae Minyoung"
SKON 2.0 App,skon,67722c5aae210395472679f4,67722c5aae210395472679d7,67722c5aae21039547267af1,false,false,Sat Nov 16 2024 20:46:33 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 06:07:42 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 07:28:37 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351d6d2a2949a1deb6ef65_Hero_SKON.webp,( 2023 ),SK Bioscience / SK Discovery,"UX planning, UI Design","UI/UX, App, Groupware, Illustation",2023. 06. 30.,SKON is a mobile company life convenience service that can be used by all members of the company together.,"By utilizing the functions necessary for work, such as attendance management, facility reservation, and digital authorization, users can not only handle work efficiently regardless of time and place, but also communicate with various interactions such as birthday celebration or employment day celebration and bulletin boards that can be enjoyed as small groups for positive group culture. Also, it has increased the convenience of company members by providing various functions such as cafe smart order located in the building, checking the menu and congestion of the cafeteria.",https://apps.apple.com/kr/app/id6449524955,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351edad1ffb93bf24eb3d3_SKON_1_Intro.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351ede5107e966b14b3565_SKON_2_Typography.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351ee2b628c58106ff28e9_SKON_3_Illust-Icon.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351ee608e3200b82869cc0_SKON_4_Today.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351eea513ce997baa93b6d_SKON_5_Component.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351eed214821d7328e062b_SKON_6_Illust-card.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351ef18059fd54d2caef8e_SKON_7_Cafe-order_weekly-menu.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351efd42874f1fa92db00d_SKON_8_Work.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351ef845b00225510e622a_SKON_9_Community.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68351f05d1ffb93bf24ec958_SKON_10_End.webp,,,,,,,"Project Manager by Park Byung-chune Creative director by Kim Hanil Design UX by Park Byung-chune, Hak Jangki Design UI by Kim Hanil, Lim Hyejin"
Better Micro Website,better,67722c5aae210395472679f4,67722c5aae210395472679d7,67722c5aae21039547267af2,false,false,Sat Nov 16 2024 20:46:33 GMT+0000 (Coordinated Universal Time),Thu Jun 19 2025 03:04:27 GMT+0000 (Coordinated Universal Time),Thu Jun 19 2025 03:04:27 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/68537e37599e9e6ce5c831db_Better_00_Cover%202.webp,( 2023 ),LG U+,"UX Design, UI Design, Motion Graphic, Web Publishing, Development","Micro Website, Micro Interaction",2023. 09. 12.,Better is a recording service that helps you make yourself better through your daily records.,"Optimized for light records, Better shows the process of becoming a better me with accumulated records. We created a micro-website using the brand's tone and manner to make more users aware of this service.",https://better-context.lifeplatform.co.kr/,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683553d2d519ae1be1083717_Better_01_Main.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683553de3a2bbdb0b5f10fb2_Better_02.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683553f452e7816b2816c387_Better_03_Start.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355400e4658ef68ae6413f_Better_04_Overview.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355409b7cc4df4cc1264b9_Better_05.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355413febca67f5741a4a6_Better_06.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683554216891fdd341b96355_Better_07.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355425aa6b1fca2dab348c_Better_08_Keyword-Interaction.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835542aa00bb18e9b5f3dcd_Better_09_Illustrated-Character-1.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835542e08e3200b82a6167d_Better_09_Illustrated-Character-2.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355513aa6b1fca2dabde6f_Better_11_Colors.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355518643c200cb9aa68a5_Better_12_-Typo.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835551b3a2bbdb0b5f1fba1_Better_13_Community.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835551e2b2ccb2ece4949f5_Better_14_Screens.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355522f90011fb48f9583d_Better_15.webp,,"Project Manager by Shin Geonwoong / Creative director by Shin Geonwoong / UI Design by Shin Geonwoong, Kim Jeesung / Motion Design by Gil Youngjin, Shin Geonwoong, Kim Jeesung"
Ophily Brand Website,ohpily-website,67722c5aae210395472679f4,67722c5aae210395472679d7,6777b5a7101d0c97ffcba7cc,false,false,Fri Jan 03 2025 10:02:15 GMT+0000 (Coordinated Universal Time),Fri Jun 27 2025 08:27:01 GMT+0000 (Coordinated Universal Time),Fri Jun 27 2025 08:34:58 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/685e4f81b4304bd8428454e9_Ohpily_00_Hero%20V2.webp,( 2024 ),HUG,"UX/UI Design, Publishing, Development","Shopping Mall, Cafe 24",2024. 02. 28,Opilly is a brand that delivers colorful and delicious happiness through food essential to customers' livestyle.,We have organized this website with a clean and reliable design to capture the confidence contained in Ophilly's food and authenticity toward customers. Designs with consistent brand tone and margins to highlight the crucial information helps users to explore and buy products with recognizing the brand's identity and having satisfactory consumption.,https://ohpily.com/,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68354f4e16b57cb0d8741276_Ophily_02_Main.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68354f5318651e9415b6324e_Ophily_03_Product.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68354f5a327b60cf7650f460_Ophily_04_Font%26Color.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68354f5deb6e166f6d24b99b_Ophily_05_About_PC.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835693f23a07e3759e799d3_Ophily_06_About_MO.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683551747f15cafe06bab751_Ophily_07_Detail.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6835517618651e9415b79198_Ophily_08_Review.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68355179d6d805810e0c3d59_Ophily_09_Mockup.webp,,,,,,,,,"Creative Director by Shin Geonwoong / Project Manager by Shin Geonwoong / Design UI by Shin Geonwoong, Kim Jeesung, Lim Hyejin / Web Publishing by Designart / Back-end & Admin Development by Designart"
HYPHEN PAY APP,hyphen-pay-app,67722c5aae210395472679f4,67722c5aae210395472679d7,6836b69b9089638467ac0989,false,false,Wed May 28 2025 07:09:15 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 08:31:01 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 08:36:38 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836b3522d4e9025b82a6fad_hero_hyphen-pay.jpg,( 2022 ),"Hyphen, co.","UI Design, Motion Graphic","Payment, App",2022. 08. 31.,Hyphenpay is a mobile payment service for the MZ generation.,"By using Hyphenpay, you can easily pay without cash or card in the laundry room of every partner university dormitories. It is designed to leave only the functions that users mainly use on the home screen so that even the first users can understand and use the service quickly. It supports reasonable and useful services for users by adding various functions as well as receiving benefits. The purple & white color combination provides strong visual contrast and allows expression according to the importance of the content. The Grap also applied motion graphic that a circle is being combined with a line after being saperated to imply the message of the slogan '#EasyPayWithoutCash #WithoutCard,' which includes the goal of Hyphenpay's service. It is a graphic to help users understand, which enhances the delivery of meaning and contains all the trendy charms.",https://apps.apple.com/kr/app/id1612585632,,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836c6811b9fe40600a42480_hyphen_02_ani.gif,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836c6071d3e390725fc5bf1_hyphen_03.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836b9f265523b582b3a6dcf_hyphen_04.png,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836b9f56a46cd4ed7c4ae42_hyphen_05.png,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836c60b8363e3aa17ae1161_hyphen_06.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836c60e0f5e9083dd15271d_hyphen_07.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836ba5f2a9216c74f19f265_hyphen_08.png,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836ba791e5437589e91ddbb_hyphen_09.png,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836ba7e3df17319ec2d45fd_hyphen_10.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836c6132d4e9025b836b1db_hyphen_11_ani.gif,,,,,,"Project Manager by Kim Yeonghak / Design UX by Kim Yeonghak / Design UI by Kang Taewoo, Seo Mijin, Choi Sunhyung / Interaction Design by Lee Jongseok / Programming by Park Seongjun, Seo Gyuhyeon, Lee Seokjun, Kwon Yongsik"
KIA K5 Beijing Motor Show,kia-k5-beijing-motor-show,67722c5aae210395472679f4,67722c5aae210395472679d7,6836d2d60cc164a441c10daf,false,false,Wed May 28 2025 09:09:42 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 09:36:35 GMT+0000 (Coordinated Universal Time),Wed May 28 2025 09:44:26 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d3adbb7de3f8720d062d_kia_k5_01_ani.gif,( 2010 ),KIA Motors,Mov Promotion,"Promotion, Opening Movie, 3D",2010. 05.,Dynamic Driving,"The Grap designed the opening video of K5's Beijing Motor Show Countdown under the concept of ""Dynamic Running."" Starting with a beauty cut of K5's soft exterior, the cool and dynamic driving was expressed in the foreground of the virtual city. The countdown number of the opening was made of K5's key color, red, as points, and consists of a huge sculpture to create a situation where you run and avoid obstacles, allowing audiences to feel a sense of urgency and speed.",,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d3adbb7de3f8720d062d_kia_k5_01_ani.gif,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d282789bcfe257898745_kia_k5_02.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d285b42491bf560e5fb0_kia_k5_03.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d2fc95ea4b04d6f48b3b_kia_k5_04_ani.gif,,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d2903bf7998726304785_kia_k5_06.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d2970cc164a441c0e1a0_kia_k5_07.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6836d2994451e25e239ab274_kia_k5_08.webp,,,,,,,,,"Creative Director: Ahn Changhyeon, Lee Jongseok / 3D Modeling: Kim Sanghee / 3D Animation: Kim Sanghee, Lee Jongseok / 2D Animation: Lee Jongseok / Composition: Lee Jongseok Editor: Lee Jongseok"
Samhwa Paint Website,samhwa-paint-website,67722c5aae210395472679f4,67722c5aae210395472679d7,683916590d7f585053ac7231,false,false,Fri May 30 2025 02:22:17 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 02:36:04 GMT+0000 (Coordinated Universal Time),Fri May 30 2025 02:39:28 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67722c5aae210395472679f2/68391697e7a0a0e198c43b48_Samhwa_00_Hero.webp,( 2020 ),Samhwa Paints Industrial,"UX/UI Design, Publishing, Development","UI/UX, Website, Admin",2020. 12. 24.,"Samhwa Paint viewed paint as a concept that protects life and protects the environment, rather than just coloring materials, and reorganized its website to immerse itself deeper into customers' spaces and lives. ","Those who visit the Samhwa Paint website range from beginners to experts. The biggest goal was to carefully select the right information for different consumer groups and to create an environment where they could easily and quickly access the information they wanted. The website became worthy to everyone by focusing on the natural flow of the contents so that customers can get the idea for the color and the information about the offline stores where they can buy the products. The second goal of improvement, which is to enhance the brand image and share corporate value, has made significant changes to the visuals. The main banner size catches the eye with a large typography on a full-size layout and creates a differentiated visual by harmoniously arranging serif and san serif fonts. Background visuals support image or video formats according to the purpose of operation, allowing you to choose according to the situation, creating an environment for operational efficiency and broad design. Third, Samhwa Paint wanted to provide customers with expertise and pride in colors through special experiences. The Grap selected clean and clear images and designed concisely without any elements that hinder immersion, satisfying both aesthetics and usability. In color search, it accumulates calmly every time you select a color you searched for, and it is being completed in a shape close to a real paper color chip, resulting in speciality and empathy. Color is being boldly shown on a full screen using a web environment, so that customers could focus more on the essence of color.",https://samhwa.com/,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683919418e828a22d998e66b_Samhwa_01.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68391943b2180bfcc0995f56_Samhwa_02.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68391946773a844f7edf157d_Samhwa_03.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683919496cfa6e2f84b4fa49_Samhwa_04.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6839194c9ca4b657c42a5f34_Samhwa_05.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/6839194ebc4e06a7eddea57f_Samhwa_06.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68391950bbcf47247d5c41d3_Samhwa_07.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/683919526b718e78927768e1_Samhwa_08.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68391955fad4fcbbc437dbf0_Samhwa_09.webp,https://cdn.prod.website-files.com/67722c5aae210395472679f2/68391958d79465735f4ed392_Samhwa_10.webp,,,,,,,"( The Grap ) Chief Advisor_ Kim Jungkwon / Creative Director_ Seo Mijin / Project Manager_ Kim Taewoo, Seo Mijin / UX Design_ Kim Taewoo / UI Design_ Seo Mijin / Web Publishing_ Jeong Euiyoung / Programming: Kang Mihyeon, Park Minsu, Min Changhun ( Samhwa Paint ) Programming: Seo Yeongbin"
